,Workload,Algorithm,r,Mean (Std)
44,mandelbrot,DLiSA-0.3,2,1.051 (0.014)
45,strawberry,FEMOSAA,3,1.145 (0.037)
46,strawberry,Seed-EA,1,1.116 (0.015)
47,strawberry,D-SOGA,3,1.117 (0.017)
48,strawberry,LiDOS,3,1.12 (0.018)
49,strawberry,DLiSA-0.3,2,1.117 (0.017)
50,village,FEMOSAA,3,1.693 (0.053)
51,village,Seed-EA,1,1.627 (0.035)
52,village,D-SOGA,3,1.63 (0.032)
53,village,LiDOS,3,1.636 (0.041)
54,village,DLiSA-0.3,2,1.628 (0.038)
55,jpeg-large,FEMOSAA,4,1.952 (0.147)
56,jpeg-large,Seed-EA,3,1.867 (0.124)
57,jpeg-large,D-SOGA,1,1.844 (0.093)
58,jpeg-large,LiDOS,4,1.892 (0.135)
59,jpeg-large,DLiSA-0.3,2,1.849 (0.105)
60,jpeg-medium,FEMOSAA,2,1.186 (0.071)
61,jpeg-medium,Seed-EA,2,1.12 (0.061)
62,jpeg-medium,D-SOGA,2,1.118 (0.056)
63,jpeg-medium,LiDOS,2,1.126 (0.062)
64,jpeg-medium,DLiSA-0.3,1,1.115 (0.049)
65,jpeg-small,FEMOSAA,3,0.384 (0.007)
66,jpeg-small,Seed-EA,2,0.375 (0.007)
67,jpeg-small,D-SOGA,3,0.376 (0.007)
68,jpeg-small,LiDOS,3,0.377 (0.008)
69,jpeg-small,DLiSA-0.3,1,0.375 (0.008)
70,png-large,FEMOSAA,3,1.657 (0.081)
71,png-large,Seed-EA,3,1.608 (0.071)
72,png-large,D-SOGA,1,1.603 (0.063)
73,png-large,LiDOS,3,1.622 (0.08)
74,png-large,DLiSA-0.3,2,1.605 (0.067)
75,png-medium,FEMOSAA,2,0.522 (0.021)
76,png-medium,Seed-EA,1,0.502 (0.015)
77,png-medium,D-SOGA,2,0.503 (0.015)
78,png-medium,LiDOS,2,0.505 (0.016)
79,png-medium,DLiSA-0.3,2,0.503 (0.019)
80,png-small,FEMOSAA,2,0.391 (0.013)
81,png-small,Seed-EA,1,0.375 (0.011)
82,png-small,D-SOGA,2,0.376 (0.012)
83,png-small,LiDOS,2,0.376 (0.01)
84,png-small,DLiSA-0.3,2,0.376 (0.011)
85,psd-large,FEMOSAA,2,19.015 (3.692)
86,psd-large,Seed-EA,2,17.485 (2.864)
87,psd-large,D-SOGA,1,17.269 (2.668)
88,psd-large,LiDOS,2,18.333 (3.433)
89,psd-large,DLiSA-0.3,1,17.366 (2.734)
90,psd-medium,FEMOSAA,3,1.057 (0.033)
91,psd-medium,Seed-EA,1,1.03 (0.026)
92,psd-medium,D-SOGA,2,1.032 (0.026)
93,psd-medium,LiDOS,3,1.039 (0.029)
94,psd-medium,DLiSA-0.3,3,1.032 (0.027)
95,psd-small,FEMOSAA,3,0.491 (0.015)
96,psd-small,Seed-EA,2,0.474 (0.015)
97,psd-small,D-SOGA,3,0.474 (0.014)
98,psd-small,LiDOS,3,0.477 (0.016)
99,psd-small,DLiSA-0.3,1,0.473 (0.014)
100,svg-large,FEMOSAA,2,1.441 (0.011)
101,svg-large,Seed-EA,1,1.439 (0.009)
102,svg-large,D-SOGA,1,1.44 (0.008)
103,svg-large,LiDOS,2,1.441 (0.009)
104,svg-large,DLiSA-0.3,1,1.438 (0.009)
105,svg-medium,FEMOSAA,3,1.464 (0.02)
106,svg-medium,Seed-EA,1,1.442 (0.018)
107,svg-medium,D-SOGA,2,1.446 (0.019)
108,svg-medium,LiDOS,3,1.447 (0.021)
109,svg-medium,DLiSA-0.3,2,1.444 (0.019)
110,svg-small,FEMOSAA,2,0.49 (0.009)
111,svg-small,Seed-EA,1,0.487 (0.009)
112,svg-small,D-SOGA,2,0.487 (0.01)
113,svg-small,LiDOS,2,0.489 (0.01)
114,svg-small,DLiSA-0.3,1,0.487 (0.007)
115,smallbank-1,FEMOSAA,3,25641.195 (1612.807)
116,smallbank-1,Seed-EA,2,26395.457 (1332.09)
117,smallbank-1,D-SOGA,2,26485.351 (1090.741)
118,smallbank-1,LiDOS,2,26287.284 (1466.595)
119,smallbank-1,DLiSA-0.3,1,26721.45 (705.601)
120,smallbank-10,FEMOSAA,3,18273.524 (1026.898)
121,smallbank-10,Seed-EA,2,18573.352 (1625.003)
122,smallbank-10,D-SOGA,1,18847.953 (865.318)
123,smallbank-10,LiDOS,2,18488.896 (1651.846)
124,smallbank-10,DLiSA-0.3,1,18972.982 (758.262)
125,tpcc-2,FEMOSAA,3,908.11 (46.396)
126,tpcc-2,Seed-EA,1,943.275 (53.605)
127,tpcc-2,D-SOGA,1,946.655 (43.526)
128,tpcc-2,LiDOS,2,938.221 (54.261)
129,tpcc-2,DLiSA-0.3,1,948.344 (38.602)
130,tpcc-8,FEMOSAA,3,963.053 (92.521)
131,tpcc-8,Seed-EA,2,1012.475 (108.587)
132,tpcc-8,D-SOGA,2,1015.531 (86.929)
133,tpcc-8,LiDOS,2,1006.74 (104.145)
134,tpcc-8,DLiSA-0.3,1,1032.006 (45.261)
135,voter-16,FEMOSAA,2,46866.246 (3439.525)
136,voter-16,Seed-EA,1,47332.765 (3793.023)
137,voter-16,D-SOGA,1,47491.315 (3459.523)
138,voter-16,LiDOS,2,47021.762 (4273.182)
139,voter-16,DLiSA-0.3,1,47835.194 (2491.758)
140,voter-2,FEMOSAA,3,47199.317 (2383.084)
141,voter-2,Seed-EA,3,47446.104 (3798.389)
142,voter-2,D-SOGA,2,47844.701 (2876.854)
143,voter-2,LiDOS,3,47119.407 (4400.199)
144,voter-2,DLiSA-0.3,1,48335.083 (488.968)
145,ycsb-2400,FEMOSAA,2,18499.348 (1805.899)
146,ycsb-2400,Seed-EA,1,19979.516 (1662.321)
147,ycsb-2400,D-SOGA,1,19952.252 (1608.535)
148,ycsb-2400,LiDOS,1,19878.876 (1701.235)
149,ycsb-2400,DLiSA-0.3,1,20037.04 (1584.735)
150,ycsb-600,FEMOSAA,2,26235.578 (2089.717)
151,ycsb-600,Seed-EA,1,27973.092 (2149.536)
152,ycsb-600,D-SOGA,1,28147.533 (1915.831)
153,ycsb-600,LiDOS,1,27926.014 (2064.011)
154,ycsb-600,DLiSA-0.3,1,28129.89 (1669.565)
155,beethoven.wav,FEMOSAA,2,2.979 (1.03)
156,beethoven.wav,Seed-EA,2,2.636 (0.836)
157,beethoven.wav,D-SOGA,2,2.666 (0.848)
158,beethoven.wav,LiDOS,2,2.665 (0.789)
159,beethoven.wav,DLiSA-0.3,1,2.573 (0.828)
160,dual-channel.wav,FEMOSAA,3,1.093 (0.314)
161,dual-channel.wav,Seed-EA,2,0.915 (0.279)
162,dual-channel.wav,D-SOGA,2,0.944 (0.264)
163,dual-channel.wav,LiDOS,2,0.915 (0.232)
164,dual-channel.wav,DLiSA-0.3,1,0.846 (0.197)
165,helix.wav,FEMOSAA,3,1.629 (0.514)
166,helix.wav,Seed-EA,2,1.375 (0.421)
167,helix.wav,D-SOGA,3,1.441 (0.414)
168,helix.wav,LiDOS,2,1.431 (0.372)
169,helix.wav,DLiSA-0.3,1,1.309 (0.368)
170,single-channel.wav,FEMOSAA,3,0.741 (0.157)
171,single-channel.wav,Seed-EA,2,0.685 (0.145)
172,single-channel.wav,D-SOGA,2,0.697 (0.136)
173,single-channel.wav,LiDOS,2,0.679 (0.105)
174,single-channel.wav,DLiSA-0.3,1,0.642 (0.076)
175,speech.wav,FEMOSAA,3,1.446 (0.699)
176,speech.wav,Seed-EA,2,1.136 (0.417)
177,speech.wav,D-SOGA,2,1.21 (0.553)
178,speech.wav,LiDOS,2,1.179 (0.44)
179,speech.wav,DLiSA-0.3,1,1.045 (0.246)
180,sweep.wav,FEMOSAA,4,0.319 (0.045)
181,sweep.wav,Seed-EA,2,0.304 (0.028)
182,sweep.wav,D-SOGA,2,0.309 (0.033)
183,sweep.wav,LiDOS,3,0.31 (0.03)
184,sweep.wav,DLiSA-0.3,1,0.298 (0.018)
185,ambivert,FEMOSAA,3,1.83 (1.33)
186,ambivert,Seed-EA,2,1.346 (1.286)
187,ambivert,D-SOGA,2,1.252 (1.078)
188,ambivert,LiDOS,2,1.386 (1.252)
189,ambivert,DLiSA-0.3,1,0.986 (0.866)
190,artificl,FEMOSAA,3,0.166 (0.048)
191,artificl,Seed-EA,2,0.143 (0.041)
192,artificl,D-SOGA,2,0.141 (0.033)
193,artificl,LiDOS,2,0.147 (0.045)
194,artificl,DLiSA-0.3,1,0.131 (0.032)
195,deepfield,FEMOSAA,1,0.293 (0.12)
196,deepfield,Seed-EA,3,0.458 (0.821)
197,deepfield,D-SOGA,3,0.322 (0.168)
198,deepfield,LiDOS,3,0.659 (0.706)
199,deepfield,DLiSA-0.3,2,0.308 (0.129)
200,enwik8,FEMOSAA,4,2.625 (1.845)
201,enwik8,Seed-EA,2,1.851 (1.789)
202,enwik8,D-SOGA,2,1.598 (1.403)
203,enwik8,LiDOS,3,1.963 (1.883)
204,enwik8,DLiSA-0.3,1,1.173 (0.697)
205,fannie_mae_500k,FEMOSAA,3,1.884 (1.057)
206,fannie_mae_500k,Seed-EA,2,1.281 (1.076)
207,fannie_mae_500k,D-SOGA,2,1.182 (0.994)
208,fannie_mae_500k,LiDOS,2,1.362 (1.152)
209,fannie_mae_500k,DLiSA-0.3,1,0.938 (0.604)
210,large,FEMOSAA,4,0.687 (0.448)
211,large,Seed-EA,3,0.528 (0.406)
212,large,D-SOGA,2,0.519 (0.363)
213,large,LiDOS,3,0.581 (0.44)
214,large,DLiSA-0.3,1,0.433 (0.263)
215,misc,FEMOSAA,3,0.243 (0.106)
216,misc,Seed-EA,2,0.21 (0.108)
217,misc,D-SOGA,2,0.205 (0.104)
218,misc,LiDOS,2,0.212 (0.116)
219,misc,DLiSA-0.3,1,0.177 (0.078)
220,silesia,FEMOSAA,4,5.386 (4.813)
221,silesia,Seed-EA,2,3.869 (4.276)
222,silesia,D-SOGA,2,3.227 (2.843)
223,silesia,LiDOS,3,4.002 (4.353)
224,silesia,DLiSA-0.3,1,2.347 (2.228)
225,vmlinux,FEMOSAA,3,1.092 (0.695)
226,vmlinux,Seed-EA,2,0.852 (0.615)
227,vmlinux,D-SOGA,2,0.813 (0.583)
228,vmlinux,LiDOS,2,0.912 (0.745)
229,vmlinux,DLiSA-0.3,1,0.709 (0.585)
230,ambivert.wav.tar,FEMOSAA,2,3.214 (0.127)
231,ambivert.wav.tar,Seed-EA,2,3.134 (0.034)
232,ambivert.wav.tar,D-SOGA,1,3.132 (0.015)
233,ambivert.wav.tar,LiDOS,2,3.136 (0.032)
234,ambivert.wav.tar,DLiSA-0.3,2,3.135 (0.035)
235,artificl.tar,FEMOSAA,2,0.031 (0.002)
236,artificl.tar,Seed-EA,2,0.03 (0.0)
237,artificl.tar,D-SOGA,2,0.03 (0.0)
238,artificl.tar,LiDOS,2,0.03 (0.0)
239,artificl.tar,DLiSA-0.3,1,0.03 (0.0)
240,deepfield.tar,FEMOSAA,3,3.335 (0.037)
241,deepfield.tar,Seed-EA,1,3.304 (0.013)
242,deepfield.tar,D-SOGA,3,3.311 (0.023)
243,deepfield.tar,LiDOS,2,3.309 (0.019)
244,deepfield.tar,DLiSA-0.3,2,3.305 (0.014)
245,enwik8.tar,FEMOSAA,3,7.268 (0.227)
246,enwik8.tar,Seed-EA,2,7.165 (0.088)
247,enwik8.tar,D-SOGA,2,7.17 (0.078)
248,enwik8.tar,LiDOS,3,7.171 (0.039)
249,enwik8.tar,DLiSA-0.3,1,7.159 (0.032)
250,fannie_mae_500k.tar,FEMOSAA,3,33.581 (0.386)
251,fannie_mae_500k.tar,Seed-EA,1,33.395 (0.016)
252,fannie_mae_500k.tar,D-SOGA,2,33.397 (0.017)
253,fannie_mae_500k.tar,LiDOS,3,33.424 (0.148)
254,fannie_mae_500k.tar,DLiSA-0.3,2,33.421 (0.15)
255,large.tar,FEMOSAA,4,0.978 (0.012)
256,large.tar,Seed-EA,2,0.971 (0.003)
257,large.tar,D-SOGA,1,0.97 (0.002)
258,large.tar,LiDOS,3,0.972 (0.006)
259,large.tar,DLiSA-0.3,3,0.971 (0.003)
260,misc.tar,FEMOSAA,3,0.198 (0.005)
261,misc.tar,Seed-EA,1,0.192 (0.004)
262,misc.tar,D-SOGA,2,0.192 (0.004)
263,misc.tar,LiDOS,3,0.193 (0.005)
264,misc.tar,DLiSA-0.3,3,0.192 (0.004)
265,silesia.tar,FEMOSAA,3,10.966 (0.092)
266,silesia.tar,Seed-EA,3,10.91 (0.043)
267,silesia.tar,D-SOGA,2,10.909 (0.039)
268,silesia.tar,LiDOS,3,10.919 (0.048)
269,silesia.tar,DLiSA-0.3,1,10.907 (0.02)
270,uiq-32.bin,FEMOSAA,4,9.492 (0.478)
271,uiq-32.bin,Seed-EA,1,9.18 (0.282)
272,uiq-32.bin,D-SOGA,3,9.279 (0.321)
273,uiq-32.bin,LiDOS,4,9.358 (0.296)
274,uiq-32.bin,DLiSA-0.3,2,9.197 (0.314)
275,uiq2-16.bin,FEMOSAA,3,5.595 (0.381)
276,uiq2-16.bin,Seed-EA,2,5.358 (0.233)
277,uiq2-16.bin,D-SOGA,3,5.429 (0.299)
278,uiq2-16.bin,LiDOS,2,5.398 (0.276)
279,uiq2-16.bin,DLiSA-0.3,1,5.358 (0.228)
280,uiq2-4.bin,FEMOSAA,2,2.126 (0.047)
281,uiq2-4.bin,Seed-EA,2,2.092 (0.035)
282,uiq2-4.bin,D-SOGA,2,2.094 (0.029)
283,uiq2-4.bin,LiDOS,2,2.093 (0.029)
284,uiq2-4.bin,DLiSA-0.3,1,2.089 (0.022)
285,uiq2-8.bin,FEMOSAA,3,3.547 (0.121)
286,uiq2-8.bin,Seed-EA,1,3.474 (0.059)
287,uiq2-8.bin,D-SOGA,2,3.488 (0.079)
288,uiq2-8.bin,LiDOS,3,3.501 (0.154)
289,uiq2-8.bin,DLiSA-0.3,2,3.477 (0.065)
290,vmlinux-5.10.tar,FEMOSAA,3,2.546 (0.024)
291,vmlinux-5.10.tar,Seed-EA,2,2.529 (0.018)
292,vmlinux-5.10.tar,D-SOGA,1,2.527 (0.016)
293,vmlinux-5.10.tar,LiDOS,3,2.534 (0.019)
294,vmlinux-5.10.tar,DLiSA-0.3,3,2.53 (0.018)
295,Johnny_1280x720_60_short.y4m,FEMOSAA,3,1.038 (0.299)
296,Johnny_1280x720_60_short.y4m,Seed-EA,2,0.937 (0.19)
297,Johnny_1280x720_60_short.y4m,D-SOGA,2,0.933 (0.189)
298,Johnny_1280x720_60_short.y4m,LiDOS,2,0.965 (0.195)
299,Johnny_1280x720_60_short.y4m,DLiSA-0.3,1,0.89 (0.14)
300,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,FEMOSAA,3,3.954 (0.842)
301,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,Seed-EA,2,3.775 (0.806)
302,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,D-SOGA,1,3.751 (0.819)
303,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,LiDOS,2,3.927 (0.845)
304,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m,DLiSA-0.3,1,3.59 (0.567)
305,blue_sky_1080p25_short.y4m,FEMOSAA,3,1.534 (0.421)
306,blue_sky_1080p25_short.y4m,Seed-EA,2,1.374 (0.327)
307,blue_sky_1080p25_short.y4m,D-SOGA,2,1.4 (0.322)
308,blue_sky_1080p25_short.y4m,LiDOS,2,1.422 (0.348)
309,blue_sky_1080p25_short.y4m,DLiSA-0.3,1,1.286 (0.248)
310,pedestrian_area_1080p25_short.y4m,FEMOSAA,3,1.77 (0.438)
311,pedestrian_area_1080p25_short.y4m,Seed-EA,1,1.702 (0.43)
312,pedestrian_area_1080p25_short.y4m,D-SOGA,1,1.652 (0.347)
313,pedestrian_area_1080p25_short.y4m,LiDOS,2,1.757 (0.413)
314,pedestrian_area_1080p25_short.y4m,DLiSA-0.3,1,1.586 (0.236)
315,riverbed_1080p25_short.y4m,FEMOSAA,3,4.073 (2.727)
316,riverbed_1080p25_short.y4m,Seed-EA,2,3.414 (0.729)
317,riverbed_1080p25_short.y4m,D-SOGA,2,3.438 (0.795)
318,riverbed_1080p25_short.y4m,LiDOS,2,3.53 (0.808)
319,riverbed_1080p25_short.y4m,DLiSA-0.3,1,3.222 (0.514)
320,sd_bridge_close_cif_short.y4m,FEMOSAA,3,0.111 (0.018)
321,sd_bridge_close_cif_short.y4m,Seed-EA,2,0.104 (0.014)
322,sd_bridge_close_cif_short.y4m,D-SOGA,2,0.103 (0.012)
323,sd_bridge_close_cif_short.y4m,LiDOS,2,0.105 (0.015)
324,sd_bridge_close_cif_short.y4m,DLiSA-0.3,1,0.1 (0.013)
325,sd_city_4cif_short.y4m,FEMOSAA,3,0.679 (0.206)
326,sd_city_4cif_short.y4m,Seed-EA,2,0.606 (0.154)
327,sd_city_4cif_short.y4m,D-SOGA,2,0.606 (0.161)
328,sd_city_4cif_short.y4m,LiDOS,2,0.632 (0.173)
329,sd_city_4cif_short.y4m,DLiSA-0.3,1,0.572 (0.11)
330,sd_crew_cif_short.y4m,FEMOSAA,3,0.162 (0.086)
331,sd_crew_cif_short.y4m,Seed-EA,2,0.142 (0.029)
332,sd_crew_cif_short.y4m,D-SOGA,2,0.143 (0.025)
333,sd_crew_cif_short.y4m,LiDOS,2,0.146 (0.032)
334,sd_crew_cif_short.y4m,DLiSA-0.3,1,0.133 (0.019)
335,sintel_trailer_2k_720p24_short.y4m,FEMOSAA,3,0.261 (0.05)
336,sintel_trailer_2k_720p24_short.y4m,Seed-EA,1,0.249 (0.038)
337,sintel_trailer_2k_720p24_short.y4m,D-SOGA,2,0.249 (0.039)
338,sintel_trailer_2k_720p24_short.y4m,LiDOS,2,0.253 (0.04)
339,sintel_trailer_2k_720p24_short.y4m,DLiSA-0.3,1,0.24 (0.031)
340,ambivert.wav.tar,FEMOSAA,3,4.931 (1.445)
341,ambivert.wav.tar,Seed-EA,2,4.636 (1.427)
342,ambivert.wav.tar,D-SOGA,1,4.486 (1.251)
343,ambivert.wav.tar,LiDOS,2,4.924 (1.986)
344,ambivert.wav.tar,DLiSA-0.3,1,3.813 (0.849)
345,artificl.tar,FEMOSAA,2,0.014 (0.005)
346,artificl.tar,Seed-EA,2,0.013 (0.005)
347,artificl.tar,D-SOGA,2,0.013 (0.005)
348,artificl.tar,LiDOS,3,0.015 (0.006)
349,artificl.tar,DLiSA-0.3,1,0.011 (0.003)
350,deepfield.tar,FEMOSAA,2,4.804 (1.461)
351,deepfield.tar,Seed-EA,1,4.558 (1.412)
352,deepfield.tar,D-SOGA,1,4.543 (1.394)
353,deepfield.tar,LiDOS,1,4.641 (1.438)
354,deepfield.tar,DLiSA-0.3,1,3.835 (0.966)
355,enwik8.tar,FEMOSAA,1,13.679 (3.906)
356,enwik8.tar,Seed-EA,1,13.133 (3.83)
357,enwik8.tar,D-SOGA,1,13.132 (4.012)
358,enwik8.tar,LiDOS,2,14.171 (8.349)
359,enwik8.tar,DLiSA-0.3,1,11.102 (2.73)
360,fannie_mae_500k.tar,FEMOSAA,2,14.266 (3.91)
361,fannie_mae_500k.tar,Seed-EA,1,13.657 (4.411)
362,fannie_mae_500k.tar,D-SOGA,1,13.815 (3.875)
363,fannie_mae_500k.tar,LiDOS,1,14.018 (4.555)
364,fannie_mae_500k.tar,DLiSA-0.3,1,11.702 (3.297)
365,large.tar,FEMOSAA,3,2.172 (0.634)
366,large.tar,Seed-EA,1,1.926 (0.513)
367,large.tar,D-SOGA,2,2.077 (0.696)
368,large.tar,LiDOS,1,2.053 (0.724)
369,large.tar,DLiSA-0.3,1,1.638 (0.375)
370,misc.tar,FEMOSAA,3,0.215 (0.023)
371,misc.tar,Seed-EA,1,0.205 (0.023)
372,misc.tar,D-SOGA,2,0.206 (0.019)
373,misc.tar,LiDOS,2,0.214 (0.031)
374,misc.tar,DLiSA-0.3,1,0.196 (0.015)
375,silesia.tar,FEMOSAA,1,29.552 (8.366)
376,silesia.tar,Seed-EA,1,28.616 (8.807)
377,silesia.tar,D-SOGA,1,28.969 (8.508)
378,silesia.tar,LiDOS,2,29.977 (9.191)
379,silesia.tar,DLiSA-0.3,1,23.789 (5.998)
380,uiq-32.bin,FEMOSAA,1,27.128 (7.707)
381,uiq-32.bin,Seed-EA,1,25.64 (7.097)
382,uiq-32.bin,D-SOGA,1,26.33 (7.248)
383,uiq-32.bin,LiDOS,2,27.838 (16.49)
384,uiq-32.bin,DLiSA-0.3,1,21.324 (5.188)
385,uiq2-16.bin,FEMOSAA,1,13.081 (3.964)
386,uiq2-16.bin,Seed-EA,1,12.952 (4.033)
387,uiq2-16.bin,D-SOGA,1,12.878 (3.446)
388,uiq2-16.bin,LiDOS,2,13.191 (4.421)
389,uiq2-16.bin,DLiSA-0.3,1,10.605 (2.606)
390,uiq2-4.bin,FEMOSAA,3,3.388 (0.99)
391,uiq2-4.bin,Seed-EA,2,3.254 (0.913)
392,uiq2-4.bin,D-SOGA,1,3.19 (0.943)
393,uiq2-4.bin,LiDOS,2,3.311 (0.962)
394,uiq2-4.bin,DLiSA-0.3,1,2.804 (0.775)
395,uiq2-8.bin,FEMOSAA,3,7.159 (2.183)
396,uiq2-8.bin,Seed-EA,2,6.327 (1.822)
397,uiq2-8.bin,D-SOGA,2,6.541 (1.967)
398,uiq2-8.bin,LiDOS,2,6.567 (2.086)
399,uiq2-8.bin,DLiSA-0.3,1,5.341 (1.318)
400,vmlinux-5.10.tar,FEMOSAA,2,3.621 (0.99)
401,vmlinux-5.10.tar,Seed-EA,1,3.44 (1.002)
402,vmlinux-5.10.tar,D-SOGA,1,3.554 (0.992)
403,vmlinux-5.10.tar,LiDOS,1,3.612 (1.169)
404,vmlinux-5.10.tar,DLiSA-0.3,1,2.939 (0.721)
405,AUFNIRA_z3.637557.smt2,FEMOSAA,1,5.881 (0.131)
406,AUFNIRA_z3.637557.smt2,Seed-EA,2,5.898 (0.317)
407,AUFNIRA_z3.637557.smt2,D-SOGA,2,5.951 (0.953)
408,AUFNIRA_z3.637557.smt2,LiDOS,3,5.993 (0.628)
409,AUFNIRA_z3.637557.smt2,DLiSA-0.3,1,5.856 (0.011)
410,LRA_formula_277.smt2,FEMOSAA,1,1.77 (0.089)
411,LRA_formula_277.smt2,Seed-EA,4,2.463 (0.668)
412,LRA_formula_277.smt2,D-SOGA,1,2.051 (0.491)
413,LRA_formula_277.smt2,LiDOS,3,2.375 (0.616)
414,LRA_formula_277.smt2,DLiSA-0.3,2,2.254 (0.608)
415,QF_AUFBV_891_sqlite3.smt2,FEMOSAA,2,0.629 (0.999)
416,QF_AUFBV_891_sqlite3.smt2,Seed-EA,2,0.417 (0.802)
417,QF_AUFBV_891_sqlite3.smt2,D-SOGA,1,0.352 (0.611)
418,QF_AUFBV_891_sqlite3.smt2,LiDOS,2,0.429 (0.875)
419,QF_AUFBV_891_sqlite3.smt2,DLiSA-0.3,2,0.364 (0.66)
420,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,FEMOSAA,1,2.375 (0.245)
421,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,Seed-EA,2,2.422 (0.274)
422,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,D-SOGA,3,2.468 (0.428)
423,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,LiDOS,2,2.384 (0.254)
424,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,DLiSA-0.3,1,2.324 (0.15)
425,QF_BV_bench_3176.smt2,FEMOSAA,2,3.339 (0.655)
426,QF_BV_bench_3176.smt2,Seed-EA,2,3.18 (0.33)
427,QF_BV_bench_3176.smt2,D-SOGA,2,3.172 (0.223)
428,QF_BV_bench_3176.smt2,LiDOS,2,3.195 (0.342)
429,QF_BV_bench_3176.smt2,DLiSA-0.3,1,3.15 (0.111)
430,QF_BV_bench_935.smt2,FEMOSAA,2,1.406 (0.228)
431,QF_BV_bench_935.smt2,Seed-EA,2,1.33 (0.135)
432,QF_BV_bench_935.smt2,D-SOGA,2,1.327 (0.137)
433,QF_BV_bench_935.smt2,LiDOS,2,1.337 (0.158)
434,QF_BV_bench_935.smt2,DLiSA-0.3,1,1.322 (0.13)
435,QF_LIA_tightrhombus,FEMOSAA,1,0.278 (0.212)
436,QF_LIA_tightrhombus,Seed-EA,1,0.32 (0.504)
437,QF_LIA_tightrhombus,D-SOGA,1,0.265 (0.194)
438,QF_LIA_tightrhombus,LiDOS,1,0.269 (0.253)
439,QF_LIA_tightrhombus,DLiSA-0.3,1,0.292 (0.458)
440,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,FEMOSAA,3,8.751 (0.016)
441,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,Seed-EA,3,8.747 (0.015)
442,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,D-SOGA,3,8.806 (0.59)
443,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,LiDOS,1,8.746 (0.005)
444,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,DLiSA-0.3,2,8.746 (0.005)
445,QF_NRA_hong_9.smt2,FEMOSAA,3,3.184 (0.005)
446,QF_NRA_hong_9.smt2,Seed-EA,2,3.181 (0.003)
447,QF_NRA_hong_9.smt2,D-SOGA,1,3.181 (0.003)
448,QF_NRA_hong_9.smt2,LiDOS,3,3.182 (0.004)
